tipo_instrumento;ano_instrumento;mes_instrumento;categoria_valor;orgao_recebedor;codigo_orgao_recebedor;natureza_doador;doador_comodante;objeto_descritivo;quantidade_objeto;vigencia;processo_sei;recurso_tjmg_ou_mpmg
Contrato de Doação;2025,0;2;Acima de 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Kinross Brasil Mineração S/A;02 - Computador 02 - Mouse 02 - Teclado 02 - Monitor 01 - Notebook 06 - Monitor 01 - Impressora Multifuncional 01 - Bafômetro USB 01 - Tela Projeção 01 - Microfone 37 - Computador 37 - Mouse 37 - Teclado 02 - Notebook 01 - Condicionador Ar 01 - Unidade Condensadora 04 - Cadeira 16 - Cadeira 01 - Mesa Reunião 04 - Televisor 07 - Impressora Multifuncional 02 - Câmera Monitoramento 02 - Binóculo 02 - Telescópio 04 - Câmera de Segurança 01 - Monóculo 01 - Mini Câmera 01 - Rastreador GPS 02 - Gerador Stemac 37 - Monitor 01 - Bafômetro USB 02 - Monitor;32,0;Não se aplica;1250.01.0002772/2025-72;Não
Termo de Doação;2025,0;2;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Prefeitura Municipal de Alto Rio Doce;Serviço de manutenção do prédio onde situa a Delegacia de Polícia Civil de Alto Rio Doce/MG;1,0;Não se aplica;1510.01.0138565/2024-10;Não
Contrato de Doação;2025,0;2;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública​ - SEJUS;1451,0;Privado;Conselho da Comunidade da Comarca de Diamantina/MG;01 SWITCH 16 PORTAS TP-LINK TL-SG1016D 10/100/1000 GIGABIT 01 PATCH PANEL 24P - CAT-5 01 CABO CAT5E 4PX24 AZ 100MHZ CX305 08 MICRO BRAZIL PC INTEL I3 , SSD 240GB, 08 GB DDR3, TECLADO, MOUSE, MONITOR 19 , WIN 10 ORIGINAL 08 CAIXAS DE SOM C3TECH SP301 BK 08 FONE COM MICROFONE KMEX AR-S7500 PRETO 25 CONECTORES MACHO PLUG RJ45 CAT5E SOHOPLU;7,0;Não se aplica; 1450.01.0090370/2023-07;Não
Contrato de Doação;2025,0;2;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública​ - SEJUSP;1451,0;Privado;Conselho da Comunidade de Segurança Pública de Tupaciguara/MG;"10 - Monitores 19,5"" LENOVO THINKVISION B2 0-1B WLED 60HZ VGA/HDMI PRETO - 63A 0KAR1BR 10 - Computadores DUAL CORE J4005 4GB SSD 120GB W11 PRO (MINI) - NTC 10 - TECLADOS USB MULTILASER SLIM RESISTE NTE AGUA PRETO (TC065) 10 - MOUSES MULTILASER OTICO CLASSIC PRETO USB (MO300) 10 - HEADSET C3 TECH PRETO USB (PH - 340BK) 01 - TELA DE PROJEÇÃO RETRATIL TRQS-110 (2,00 X 2,00)";6,0;Não se aplica;1450.01.0044442/2024-12;Não
Termo de Comodato;2025,0;3;Entre 100 k e 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho de Segurança Pública de Patos de Minas - CONSEP;01 - TRIUMPH TIGER 900 RALLY, placa TFS-4D41, chassi 97NC83DE9SMCC183, RENAVAM 01434257328, ano/modelo 2024/2025, cor preta 01 - TRIUMPH TIGER 900 RALLY, placa SDN-5D99, chassi 97NC83DE0SMCB6770, RENAVAM 01417927990, ano/modelo 2024/2025, cor preta 01 - TRIUMPH TIGER 900 RALLY, placa SDH-2G49, chassi 97NC83DE6SMCA3389, RENAVAM 01417685732, ano modelo 2024/2025, cor preta;3,0;60 meses;1250.01.0003386/2025-81;Não
Contrato de Doação;2025,0;3;Acima de 500k;Secretaria de Estado de Cultura e Turismo de Minas Gerais – SECULT;1271,0;Privado;Instituto Cultural Banco de Desenvolvimento de Minas Gerais - BDMG CULTURAL;Acervo composto por 257 obras de arte visual, abrangendo diversas modalidades de expressão artística, tais como pinturas, esculturas e mídias digitais.;257,0;Não se aplica;1410.01.0000564/2025-11;Não
Contrato de Doação;2025,0;3;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública​ - SEJUSP;1451,0;Privado;Conselho Comunitário de Segurança Pública - CONSEP de Unaí/MG;01 - Impressora Multifuncional;1,0;Não se aplica;1450.01.0036687/2025-68;Sim
Contrato de Doação;2025,0;3;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública​ - SEJUSP;1451,0;Privado;Alexandre Moreno Carneiro e Souza;CÃO, PASTOR ALEMÃO, CINZA , MACHO, NASCIMENTO 19/04/2024, NOME: CÉRBERUS;1,0;Não se aplica;1450.01.0185324/2024-53;Não
Contrato de Comodato;2025,0;3;Entre 100 k e 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho Comunitário de Segurança Pública de Pompéu/MG;01 - CAMINHONETE - FIAT/TORO ENDUR T270 AT6, placa TDJ2E26, chassi 982261PESKG05316 01 - MOTOCICLETA - MARCA HONDA/XRE 300 SAHARA, PLACA  TDJ2E30, chassi 9C2ND1730SR103218 01 - MOTOCICLETA - MARCA HONDA/XRE 300 SAHARA, PLACA TJD2E14, chassi 9C2ND1720SR000924;3,0;60 meses;1250.01.0000753/2025-71;Não
Contrato de Doação;2025,0;3;Acima de 500k;Departamento de Estradas de Rodagem do Estado de Minas Gerais - DER;2301,0;Privado;CSN CIMENTOS BRASIL S.A e Companhia de Cimento Campeão Alvorada – CCA;9.000 toneladas de cimento - necessários para a obra a ser licitada de restauração do pavimento asfáltico existente na MG-170, extensão de 5,92km no trecho Arcos-Corumbá, incluído o transporte até a área de armazenamento do canteiro de obras.;1,0;24 meses;2300.01.0026933/2024-42;Não
Termo de Transferência de Bens;2025,0;3;Entre 100 K e 500 K;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;SIER MÓVEIS LTDA.;"01 VEÍCULO RENAULT DUSTER INTENSE PLUS MT 1.6; CHASSI: 93YHJD204SJ082820; CODIGO: JM1G22 A1M 7FS; MOTOR: H4MK743Q092337; COR: PRETO; COMBUST: ALCOOL/GASOLINA; RENAVAM: 201654; ANO FAB: 2024 / MOD:2025";1,0;Não se aplica;1510.01.0261905/2024-34;Sim
Termo de Ajuste de Conduta;2025,0;3;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Paulo Cesar Salgado e Sebastião Moreira de Souza;Notebooks com configuração mínima de HD SSD de 256 GB, 16 GB de memória, Windows 10  Coletores de assinatura digital com tela de LCD e linha guia no display, tipo do da marca Akiyama ESP 560 (utilizado nas Unidades Policiais)  ;2,0;Não se aplica;1510.01.0110483/2024-72;Sim
Termo de Doação;2025,0;3;Acima de 500k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Ministério da Justiça e Segurança Pública - MJSP;01 - Caminhonete descaracterizada 4x4, cabine dupla, de apoio operacional, L200 TRITON SPORT GLS 2.4 D AT, CHASSI: 93XSYKL1TSCR85891, PLACA: SS03G65, COR: PRATA 01 - Caminhonete descaracterizada 4x4, cabine dupla, de apoio operacional, L200 TRITON SPORT GLS 2.4 D AT, CHASSI: 93XSYKL1TSCR85874, PLACA: SSO3G59 , COR: PRATA;2,0;24 meses;1510.01.0142593/2024-88;Não
Termo de Doação;2025,0;3;Entre 100 K e 500 K;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado;Fundação Salvar;01 - Veículo Oroch pro 1.6 24/25 MANUAL / FLEX 01 - Implemento;2,0;Não se aplica;1400.01.0023212/2024-68;Não
Termo de Comodato;2025,0;3;Entre 100 K e 500 K;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Conselho Comunitário de Segurança Pública de Frutal/MG;01 Automóvel marca TOYOTA, modelo COROLLA XEI, ano 2024, cor BRANCA, Placa TDI2H07, Chassi 9BRB33BE4R221894;1,0;60 meses;1510.01.0288894/2024-92;Não
Termo de Doação;2025,0;3;Entre 100 K e 500 K;Secretaria de Estado de Desenvolvimento Social de Minas Gerais - SEDESE;1481,0;Privado;Hero Tecnologia Ltda;Doação de licenciamento de software como serviço (SAAS);1,0;24 meses;1480.01.0000311/2025-06;Não
Contrato de Comodato;2025,0;3;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Conselho da Comunidade na Execução Penal da Comarca de Patrocínio/MG;1 DETECTOR DE METAL TIPO PORTAL 1 NVR DS-7732NXI-K4/16 conjunto 32 câmeras 1 NVR DS-7732NXI-K4/16 2 TV LED 4K 50 2 NOBREAK ATTIV 1500VA-BI 1 NOBREAK 5000VA NHS LASER SENOIDAL GII 1 CAM SPEED DOME DS-2DE5425IW-AE 4 SWITCH POE HIKVISION DS-3E0318P-E/M 5 CAMERA HIKVISION DS-2CD3186G2-IS 2.;18,0;5 anos;1450.01.0016659/2025-49;Não
Termo de Doação;2025,0;3;Abaixo de 100k;Secretaria de Estado de Saúde de Minas Gereais - SES;1321,0;Privado;Faculdade Latino-Americana de Ciências Sociais - FLACSO;Tablet Samsung S6 Lite com capa Câmera fotográfica Canon PowerShot S70 20.3 Mp Cartão de memória SD Sandisk Ultra 64GB Class 10 120 MB/s SDXC Gravador de voz Sony PX240, 4 GB Notebook Dell Vostro Core I5-1135G7, RAM 8GB, SSD 256GB Notebook Dell Vostro Core I7-165G7, RAM 8GB, SSD256GB HD externo Seagate 2TB;7,0;Não se aplica; 1320.01.0043597/2025-59;Sim
Termo de Doação;2025,0;3;Entre 100 K e 500 K;Polícia Militar de Minas Gerais - PMMG;1251,0;Público;Ministério da Justiça e Segurança Pública - MJSP;Sedan descaracterizado - Região Sudeste;1,0;24 meses;1250.01.0005151/2025-53;Não
Contrato de Doação;2025,0;3;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Sarah Alves Rodrigues;AR CONDICIONADO;1,0;Não se aplica;1450.01.0032951/2025-60;Não
Termo de Doação;2025,0;3;Entre 100 K e 500 K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Rodrigo Juarez Andrade;01 - Veículo FIAT/STRADA VOLCANO CD13 MANUAL - Lotação: 05 (cinco), Tipo: AUTOMÓVEL, Espécie: PASSAGEIRO, Renavam 01418532166, Potência: 107 cv, Cilindrada: 1332, Combustível: FLEX, Cor Interna: CINZA, Cor Externa: CINZA SILVERSTONE, Fab/Mod: 2024/2025, KM: 0, Número Motor: 463555779095281, Chassi: 9BD281BLHSYG31261, Placa: TDF-9F25;1,0;Não se aplica;1250.01.0021618/2024-95;Sim
Termo de Doação;2025,0;3;Entre 100 K e 500 K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Localiza Rent A Car S/A;"JEEP/COMPASS LONGITUDE TF, blindado, lotação: 05 (cinco); tipo: Automóvel; Espécie: Passageiro; RENAVAM: 01343776187; Potência: 185 cv; Cilindrada: 1332; Combustível: Flex; Cor: Cinza; Fab/Mod: 2023/2023; Km: 8.279; Número Motor 63536590325070, Chassi: 98867512MPKM14452 ";1,0;Não se aplica;1250.01.0001469/2025-42;Sim
Contrato de Doação;2025,0;3;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Ideuvan de Souza Avelar;15 Câmeras 01 Câmera 01 DVR 16 CH 16 Caixas sobrepor CFTV 16 Conectores BNC 16 Conectores P2 05 Cabos CFTV 01 Fonte CFTV Serviço CFTV (16 câmeras);9,0;Não se aplica;1450.01.0126816/2021-36;Não
Termo de Doação;2025,0;3;Entre 100 K e 500 K;Polícia Militar de Minas Gerais - PMMG;1251,0;Público;Prefeitura Municipal de Belo Vale/MG;Automóvel Chevrolet S10 LTZ DD4A, Ano/modelo: 2022/2022, tipo: caminhoneta-carroceria aberta, Placa: RUC-8B39, Chassi: 9BG148MK0NC443786, Combustível: diesel;1,0;Não se aplica;1250.01.0001055/2025-65;Não
Termo de Doação;2025,0;3;Abaixo de 100k;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado;WBR Consultoria LTDA.;1 Matrice 210 RTK Zenmuse XT 1 Câmera de Zoom 30x Zenmuse Z30 1 Câmera Termográfica Zenmuse XT;3,0;Não se aplica;1400.01.0009346/2025-27;Não
Termo de Doação;2025,0;3;Acima de 500k;Secretaria de Estado de Saúde - SES MG;1321,0;Público;Ministério da Saúde;19 Veículos Automotor Furgão Marca Renault, Modelo Master, Cor predominantemente branca,Ano/Modelo: 2024/2025, Motor a Diesel, 136 CV, adaptado para ambulância, conforme descritivo, técnico constante no Termo de Referência do Pregão Eletrônico SRP nº 150/2023 gerador da Ata de Registro de Preços ARP nº 4/2024 , acompanhado dos seguintes equipamentos: Equipamento 01: Aspirador Portál de Secreções, elétrico, com bateria recarregável - (PROTEC) Equipamento 02: Oxímetro portál, alimentação a pilha, po medição “Hand Held”, Digital - FABRICANTE: SHENZHEN CREATIVE INDUSTRY CO., LTD. - CHINA, REPÚBLICA POPULAR / FORNECEDOR: CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE LTDA Equipamento 03: DEA (Desfibrilador Externo Automáco)- (Easy Shock);19,0;Não se aplica;1320.01.0036296/2025-82;Não
Termo de Doação;2025,0;3;Acima de 500k;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Público;Ministério da Justiça e Segurança Pública - MJSP;12 Automóveis Toyota/Yaris SA XS15, 2024, Sedan caracterizado, cor branca;12,0;24 meses;1400.01.0015289/2025-04;Não
Contrato de Doação;2025,0;3;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Josué Avelino;PASTOR BELGA MALINOIS, COR FULVO ENCARVOADA, FÊMEA, NASCIMENTO 02/11/2024, NOME: KIRA;1,0;Não se aplica;1450.01.0051563/2025-93;Não
Termo de Doação;2025,0;3;Entre 100 K e 500 K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Geraldo Santana Machado;01 - Marca/modelo: Chevrolet/S10 LTZ DD4A, automática, cabine dupla, ano de fabricação/modelo: 2022/2023, espécie/tipo: caminhonete, prefixo: 33576, placa: RUS9C61, chassi: 9BG148MK0PC408544, motor LWNF221531063, 64728 km rodados, combustível: diesel, equipada.;1,0;Não se aplica;1250.01.0004071/2025-16;Não
Termo de Transferência de Bens     ;2025,0;3;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Conselho Comunitário de Segurança Pública de Salinas - CONSEP;01 - ARMÁRIO AÇO PADIN 02 PTS 1600x 750 x 400 03 - CADEIRA FAMA PRETO 02 - CADEIRA METAL MONTES DIRETOR GIRAT C/BR 02 - GAVETEIRO PANDIN VOL 3 GV MONT 01 - BEBEDOURO ÁGUA LATINA IBBL 02 - GAVETEIRO PANDIN AEREO 02 GV 01 - MESA PANDIN SECRETÁRIA 02 - LIXEIRA 61L C/ TAMPA 01 - PASTA SANFONADA A4 C/31 03 - PORTA CANETAS TRIPLO FUME DELLO 02 - PRANCHETA EUCATEX 344 X 250 MM CARBRINK COM PEGADOR METAL 01 - MESA PADIN SECRETÁRIA 01 - NOTEBOOK ACER 55 LD C15 8GB 256 GB SSD W11 PRATA WIN 11 01 - DESKTOP DELL CORE i5 6 GERAÇÃO 8 GB DDR4 SSD 240 Gb - SPC 01 - MONITOR 19 Dmix/ Hoopson - NOVO SPC 01 - AR COND SPLIT HW LG VOICE 12000 BTU FR DUAL INVERTER 220 V EVAP 01 - AR COND SPLIT HW LG VOICE 12000 BTU FR DUAL INVERTER 220V COND 01 - FILTRO 5 TOM INCORP SLIM BIVOLT PT 3M 100 - COPO FLEX TC-200 TRANSPARENTE C/ 25X 100 01 - DISPENSER UNICOPO PARA COPOS DE ÁGUA 01 - POUPA COPOS 180 A 200ml água tecla azul 01 - DVD STAND ALONE INTELBRAS 16 CANAIS 01 - ROTEADOR TP- LINK ECC 220 14 - CÂMERA INFRA INTELBRAS 20M 3,6 MM 01 - HD WESTEN DIGITAL 6 TB PURPLE 01 - NOBREAK INTEBRAS 600 VA PLUG DE BATERIA 02 - CAM INTELBRAS WIFI FULL HD GRAV AUDIO 01 - RACK INTELBRAS 3U 16 - CAIXA DE PASSAGEM P/CAMERAS 32 - CONECTOR BNC MACHO PARAFUSO E MOLA 32 - CONECTOR ADAPTADOR P4 MACHO 01 - FONTE 12V 10AH INTELBRAS 01 - PRESTAÇÃO DE SERVIÇO DE PINTURA 01 MT - ADESIVO COMUM BRANCO BRILHO 01 - INSTALAÇÃO E MONTAGEM DE APARELHOS, MÁQUINAS E EQUIPAMENTOS 77 - CABO DE REDE MEGATRON 100% COBRE COM PROTEÇÃO UV 14 - CONECTOR RJ 45 01 - SWITCH INTELBRAS 10/100 - 8 PORTAS 01 - INSTALAÇÃO E MONTAGEM DE APARELHOS, MÁQUINAS E EQUIPAMENTOS, INCLUSIVE MONTAGEM INDUSTRIAL, PRESTADOS AO USUÁRIO FINAL, EXCLUSIVAMENTE COM MATERIAL POR ELE FORNECIDO. 04 - ABRAÇADEIRA TIPO U 3/4 - WORKER 1,5 M3 - BRITA - CARROÇA 10 - BUCHA CINZA C/ANEL 08MM 04 - CIMENTO MONTES CLAROS CP 2 01 - COLA PVC 75 GR POLYTUBES 25 RL - CONDUITE CINZA 25 MM 02 - CONECTOR ALUMÍNIO P/CONDULETE MÚLTIPLO 3/4 052 - TRAMONTINA 02 - CURVA ELETRODUTO 3/4 12 - CX LUZ 4X2 PLAST - KRONA/TRAMONTINA 01 - CX LUZ PLÁSTICA FMD VERDE -RIBEIRO 02 - DISCO DIAMANTADO ECONÔMICO - DIAMANTE AZUL 01 - DISJ DIN 2X20 - SOPRANO 01 BR - ELETRODUTO PVC 3/45 - KRONA 01 - ENGATE 060 CM 90 MT - FIO FLEXÍVEL 02, 5MM LAMESA/ CONDOMIG 03 - FITA CREPE 18 MM X 50 MTS - TIGRE 02 - FITA CREPE 48 MM 50 MTS - TIGRE 02- FITA ISOLANTE 20 MTS 01 - HASTE ATERRAMENTO COBREADO S/CONECTOR 9,5 MM X 1,2 MT 01 - PLACA DE ACM 3,72 X 1,20 COM LETREIRO EM PVC E BRASÃO EM POLICARBONATO 02 - ADESIVOS 2,53 X 0,52 01 - SWITCH INTELBRAS 540 - CAIXA DE CABO COAXIAL PARA CFTV 190 - CABO DE REDE 100% COBRE PROT UV 02 - BALUN POWER INTELBRAS  01 - FILTRO DE LINHA 5 TOMADAS 01 - INSTALAÇÃO E MONTAGEM DE APARELHOS, MÁQUINAS E EQUIPAMENTOS, INCLUSIVE MONTAGEM INDUSTRIAL, PRESTADOS AO USUÁRIO FINAL, EXCLUSIVAMENTE COM MATERIAL POR ELE FORNECIDO 02 - INTERRUPTOR LIZ ITLECLA SIMPLES 001 - TRAMONTINA 05 - JOELHO 90 SOLDÁVAEL 20MM 06 - JOELHO 90 SOLDÁVEL 25MM 01 - JOELHO AZUL 20 X1/2 01 - LIXA D' ÁGUA 100 10 - LIXA MASSA 150 02 - LUVA LR 25X3/4 PLASTUBOS 02 - LUVA P/ ELETRODUTO ROSCÁVEL 3/4 01 - MASSA CORRIDA BEMA 25 KG CX PAPELÃO 01 - MÓDULO CEGO LIZ 090 21 - MÓDULO CEGO LIZ 10A 030 - TRAMONTINA 10 - PARAFUSO MAD.CAB. CHATA 5,0 X 50 (BICROMATIZADO) 2M² - PISO REV BOLD BRANCO 33 X59 - FORMIGRES 07 - PLACA LIZ 2X4 3 MÓDULOS JUNTOS 007 - TRAMONTINA 10 - PLACA LIZ 2X4 CEGA 001 - TRAMONTINA 01 - PORTA PRETO 210 X90 LAMBARIL INCO 3 VIDRO - ESQUERDO - ESQUADROMIL 01 - QUADRO DISTRIB. P/6/8 SOBREPOR - TIGRE 01 - REGISTRO DE ESFERA SOLDÁVEL 20MM 1/2 VIQUA 01 - ROLO DE ESPUMA 05CM C/ CABO 406/5 - ATLAS 01 - ROLO ROLA FÁCIL 5 CM AT 705/5 ATLAS 01 - THINNER 900 ML - FARBEN 01 - TINTA CORALAR 18 LTS BRANCO GELO 02 GL - TINTA EMS. SEC RÁPIDA 3,600 LTS PRETO EUCATEX 03 - TOMADA LIZ 10 A 010 - TRAMONTINA 04 BR - TUBO SOLDÁVEL 20MM 01 BR - TUBO SOLDÁVEL;92,0;Não se aplica;1510.01.0043112/2024-48;Sim
Termo de Recebimento;2025,0;3;Acima de 500k;Gabinete Militar do Governador de Minas Gerais – GMG;1071,0;Privado;VALE S.A.;02 (dois) veículos Chevrolet TRAILBLAZER HC D4A, 02(dois) veículos Chevrolet S10 WT DD4A e 04 adaptações de viatura (sinalização visual e acústica).;6,0;Não se aplica;1070.01.0000989/2025-53;Sim
Contrato de Doação;2025,0;3;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Leandro Silva Rocha;Cão Pastor Belga de Malinois denominado APOLO;1,0;Não se aplica;1450.01.0036868/2025-31;Não
Contrato de Doação;2025,0;3;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Wesley Batista Santim;Cão Pastor Belga de Malinois denominado STARK - Cor fulvo - encarvoado com máscara preta. Função a implantar: faro de detecção de ilícitos e proteção.;1,0;Não se aplica;1450.01.0056576/2025-57;Não
Termo de Doação;2025,0;4;Entre 100 K e 500 K;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Prefeitura Municipal de Catas Altas/MG;Automóvel Chevrolet TrailBlazer LT D4A, modelo 2024/2025, placas TDN9G74, chassi 9BG156FK0SC409739, devidamente caracterizado;1,0;Não se aplica ;1510.01.0023172/2025-75;Não
Termo de Doação;2025,0;4;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Prefeitura Municipal de Ribeirão das Neves;2 Poltrona Espaldar alto com apoio de cabeça 6 Longarina 3 lugares com braço 4Microcomputador Dell Optiplex 7010 1 Microcomputador portátil Dell Latitude 4 Monitor Dell de 22 P2222H 4 Mouse óptico USB Dell MS 3220P 1 Mouse USB Dell MS 116 4 Teclado USB DELL KB 216;8,0;Não se aplica;1510.01.0197258/2024-85;Não
Termo de Transferência de Bens   ;2025,0;4;Entre 100 K e 500 K;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Conselho Comunitário de Segurança Pública de Campina Verde/MG  CONSEP;"Argo Trekking; Pack Comport; Vernice Pastello Extraserie/Bicolore MULTIFUNCIONAL LASER MONO BROTHER DCPL2540DW 30PPM/CM 10.000 CENTRAL TELEFONICA MODULARE MAIS (2X4); PLACA TRONCO (1TR) - MODULARE MAIS; PLACA RAMAL DES (4RM) - MODULARE MAIS COLETOR DE ASSINATURA TOPAZ T-S460- HSB-R DVR 08 canais Acusense Hikvision modelo: iDS7208HQHI-M1/F; HD 1TERA PURPLE; Camera Bullet Hikvision ColorVu com audio modelo: DS-2CE10DF0T-LPFS (1080p/; Fonte 12v. 20 amperes Fasgold; CABO COAXIAL 4MM-80% DUPL.BLIN C/ALIM.- 2.26-BR Kit Telefone Fixo Sem Fio 2 Linhas Com 9 Ramal Bina Headset Mini Rack de Parede 16Ux470mm Desmontavel Preto - Pier Telecom NOBREAK LASER SENOIDAL GIII 5000VA 12X9AH BIV/120V USB ENG NHS Regua de Tomadas 8 Saidas Padrao Novo NBR 20A - CALHA0009 Ssd Kingston 480gb Sata Iii A400 Sa400s37/480g Preto Switch Gerenciavel Gigabit 24 Portas 4 Slots Sfp Tp-link Access Point Ubiquiti U6-pro2.4/5.0ghz 574mbps + Injetor Poe";12,0;Não se aplica;1510.01.0142099/2024-40;Sim
Contrato de Doação;2025,0;4;Acima de 500k;Secretaria de Estado de Educação de Minas Gerais – SES;1321,0;Privado;Um Minuto Produções Culturais Ltda.;Serviço de doação de 3000 (três mil) vagas no curso online Minuto Escola, na plataforma EaD Moodle Minuto Escola;1,0;02 meses;1260.01.0057951/2025-97;Não
Contrato de Doação;2025,0;4;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Wesley Batista Santim;Cão Pastor Belga denominado STARK - Cor fulvo - encarvoado com máscara preta. Função a implantar: faro de detecção de ilícitos e proteção.;1,0;Não se aplica;1450.01.0056576/2025-57;Não
Termo de Doação;2025,0;4;Abaixo de 100 k;Departamento de Estradas de Rodagem do Estado de Minas Gerais - DER;2301,0;Privado;Precon Pré-Fabricados LTDA.;LAJE 001-P – largura 1,25m e comprimento 10,80m LAJE 002-P – largura 1,25m e comprimento 10,80m LAJE 003-P – largura 0,75m e comprimento 10,80m LAJE 004-P – largura 0,75m e comprimento 10,80m PILAR P01-P – seção 40cm x 40cm;5,0;06 meses;2300.01.0044395/2025-82;Não
Termo de Transferência de Bens;2025,0;4;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Conselho Comunitário de Segurança Pública de Montes Claros;04 - PC 3GREEN INTEL 17 8 GB SSD 240 GB WIN 10 HOME 04 - a) MONITOR LED 25 LG FULL HD ULTRA WIDE 01 - CÂMERA CANON EOS REBEL T7i 18 - 55 mm 01 - CÂMERA SAMSUNG GEAR 360 BRANCO 01 - ÓCULOS 3D GEAR VR CONTROLE -SAMSUNG 01 - MULTIFUNCIONAL EPSON ECOTANK L4160 01 - THIPES DE APARELHOS FOTOGRÁFICOS 02 - SDHC 64 GB ULTRA C10 SDSDUNB - 064G-GN3IN - 04 - SSD KINGSTON 2.5 120GB A400 SATA III - SA 400 S37/120G 01 - CÂMERA IGITAL NIKON P -900 01 - CÂMERA IGITAL GOPRO HERO 7 BLACK FRETO 03 - TEL SEM FIO INTELBRÁS TS 40 ID PRETO COM IDENTI 01 - MLB 1093421880 GLOSS STORE 01 - MONOPE COM CABEÇA E ENGATE WF WT 1005 01 - STEADICAM ESTABILIZADOR STEADYCAM DSTR CÂMERA CANON NIKON 01 - RASTREADOR BLOQUEADOR VEICULAR TK 104 C/ ESCUTA GPS CARRO MOTO 01 e 01 - a) EVAPORADORA ELECTR HW 18K 220/1 Q/F ECOT e b) CONDENSADORA ELECTR HW 18K 220/1 Q/F EC 03 - BATERIA 12V 7. 0A SELADA UNIPOWER 01 - CÂMERA DE SEGURANÇA WI-FI HD - Ic3 - Intelbrás 01 - SERVIÇO DE INSTALAÇÃO APARELHO CONDICIONADOR DE ART TIPO SPLIT HI-WALL 18.000 BTU 01 - BUSHNELL MONÓCULO EQUINOX 2 X2B GEN.;21,0;Não se aplica;1510.01.0039376/2021-49;Sim
Termo de Comodato;2025,0;4;Entre 100 K e 500 K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho Comunitário de Segurança Pública Ostensiva de Ibiá – CCSPOI;Veículo Mitsubishi L200 Triton Sport GL, tipo caminhonete, cor branca, ano/modelo: 2024/2025, chassi: 93XLJKL1TSCR88215, placa: TDR4A61;1,0;60 meses;1250.01.0005847/2025-79;Não
Termo de Doação;2025,0;4;Abaixo de 100k;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado;Fundação Salvar;1 Drone 1 Bike ergometrica e Dumbell regulável 80 Uniformes Bombeiro Mirim 1 Lavadora de alta pressão 6 Cadeiras de escritório 4 Nobreak 1 Tripé 1 Kit Câmeras de segurança 2 Ar Condicionado;9,0;Não se aplica;1400.01.0021730/2025-18;Não
Contrato de Doação;2025,0;4;Abaixo de 100k;Secretaria de Estado de Desenvolvimento Social - SEDESE;1481,0;Privado;Amazon Web Service - AWS;Créditos adicionais para o projeto Mapeia Minas;1,0;12 meses;1500.01.0046372/2022-75;Não
